ticker,symbol,name,isin,sector,industry,basic_industry,index_name,source,active,series,free_float_market_cap,last_price,year_high,year_low,near_52w_high_pct,return_30d_pct,return_365d_pct,refreshed_at,exchange,security_id,nse_ticker,bse_ticker,nse_security_id,bse_security_id,data_quality,classification_source
NUVAMA.NS,NUVAMA,Nuvama Wealth Management Ltd.,INE531F01023,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
NUVOCO.NS,NUVOCO,Nuvoco Vistas Corporation Ltd.,INE118D01016,Construction,Construction,Construction,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
OBEROIRLTY.NS,OBEROIRLTY,Oberoi Realty Ltd.,INE093I01010,Realty,Realty,Realty,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
ONGC.NS,ONGC,Oil & Natural Gas Corporation Ltd.,INE213A01029,"Oil, Gas & Consumable fuels","Oil, Gas & Consumable fuels","Oil, Gas & Consumable fuels",NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
OIL.NS,OIL,Oil India Ltd.,INE274J01014,"Oil, Gas & Consumable fuels","Oil, Gas & Consumable fuels","Oil, Gas & Consumable fuels",NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
OLAELEC.NS,OLAELEC,Ola Electric Mobility Ltd.,INE0LXG01040,Auto,Auto,Auto,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
OLECTRA.NS,OLECTRA,Olectra Greentech Ltd.,INE260D01016,Auto,Auto,Auto,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
PAYTM.NS,PAYTM,One 97 Communications Ltd.,INE982J01020,Financial Services,Financial Services,Financial Services,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
ONESOURCE.NS,ONESOURCE,Onesource Specialty Pharma Ltd.,INE013P01021,Healthcare,Healthcare,Healthcare,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
OPTIEMUS.NS,OPTIEMUS,Optiemus Infracom Ltd.,INE350C01017,Telecommunication,Telecommunication,Telecommunication,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
OFSS.NS,OFSS,Oracle Financial Services Software Ltd.,INE881D01027,Information Technology,Information Technology,Information Technology,NIFTY TOTAL MARKET,nse_total_market_archive_csv,True,EQ,,,,,,,,2026-08-30T10:48:10.108833+00:00,,,,,,,classified_by_nse_total_market_archive,
